tenant,site,Location,Hostname,Tenant_Group,tenant,Manufacturer,Device_type,Platform,Serial,Asset,Role,vlan,prefix,IP address,OSType,OSName,OSVersion,vcpus,memory,disk,backup,backup_group,backup_role,patch,patch_group,monitor,monitor_method,monitor_tags,monitor_labels,Comments,DataCenter,cluster_group,clusters,vm_id,vm_uuid
homelan,Basingstoke,Office,opnsense.lan,selfhosted-group,homelan,OpnSense,VM,Proxmox,cfa8b619-f226-42a2-ba77-f5895ecaac5d,100,VPN,100,192.168.86.0,192.168.86.35,BSD,FreeBSD,21.1.8,2,2,60,TRUE,,,TRUE,,TRUE,SNMP,,,"Runs Wireguard VPN, Unbound DNS and acts as a cert server",56FD,PVE,pve18,,
homelan,Basingstoke,Office,pve18.lan,selfhosted-group,homelan,Thinkpad,IBMServer,Proxmox,9616935885ea422fa4e3c557e19d36ed,101,VirtualHost,100,192.168.86.0,192.168.86.18,Proxmox,Proxmox,6.4,4,16,100,FALSE,,,TRUE,,TRUE,Agent,,,"Running on old Thinkpad, uses iSCSI for VM storage",56FD,PVE,pve18,,
homelan,Basingstoke,Office,pve25.lan,selfhosted-group,homelan,Dell,DellServer,Proxmox,e5057ebb37504e988d249d5a418f8387,102,VirtualHost,100,192.168.86.0,192.168.86.25,Proxmox,Proxmox,6.4,8,16,100,FALSE,,,TRUE,,TRUE,Agent,,,"Running on old Dell XPS13, uses iSCSI for VM storage",56FD,PVE,pve25,,
homelan,Basingstoke,Office,pve42.lan,selfhosted-group,homelan,Gigabrix,BrixServer,Proxmox,ba8672ba78cd4283b3b8b894a3be19ac,103,VirtualHost,100,192.168.86.0,192.168.86.42,Proxmox,Proxmox,6.4,8,8,100,FALSE,,,TRUE,,TRUE,Agent,,,"Running on Low powered Gigabrix, uses iSCSI for VM storage best for testing on",56FD,PVE,pve42,,
homelan,Basingstoke,Office,pve49.lan,selfhosted-group,homelan,Gigabrix,BrixServer,Proxmox,31474e1a22a6414a84f200e3c60c0325,104,VirtualHost,100,192.168.86.0,192.168.86.49,Proxmox,Proxmox,6.4,2,8,55,FALSE,,,TRUE,,TRUE,Agent,,,"Running on Gigabrix, uses iSCSI for VM storage",56FD,PVE,pve49,,
homelan,Basingstoke,Office,qnap.lan,selfhosted-group,homelan,QNAP,NAS,Storage,none,105,Server,100,192.168.86.0,192.168.86.202,Other,Other,4.5.2,2,4,8096,FALSE,,,FALSE,,TRUE,SNMP,,,Has 3 x 3Tb SATA Spinning disks and 1 x 1Tb SSD acting as a disk cache,56FD,STORAGE,store1,,
homelan,Basingstoke,Office,rhchat.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,015bdc10484d4ac883943cd5e6858d9c,106,DockerHost,100,192.168.86.0,192.168.86.50,Linux,RedHat,8,4,2,250,TRUE,,,TRUE,,TRUE,Agent,,,Running a Public facing Rocket Chat,56FD,PVE,pve42,,
homelan,Basingstoke,Office,rhdbserver.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,b15d7127a96b45648a4eb9b37195cb8d,107,Database,100,192.168.86.0,192.168.86.249,Linux,RedHat,8,4,4,320,TRUE,,,TRUE,,TRUE,Agent,,,Running a MariaDb Server,56FD,PVE,pve18,,
homelan,Basingstoke,Office,rhgitlab.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,74a007dc35e9471c8aba2731c054851a,108,Server,100,192.168.86.0,192.168.86.52,Linux,RedHat,8,4,4,320,TRUE,,,TRUE,,TRUE,Agent,,,Runs a self hosted Gitlab instance which can be updated using yum,56FD,PVE,pve25,,
homelan,Basingstoke,Office,rhlogserver.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,12f8a6a37e0b419ba3a47539a24610c3,109,Server,100,192.168.86.0,192.168.86.41,Linux,RedHat,8,4,4,320,TRUE,,,TRUE,,TRUE,Agent,,,"Ingress for Syslogs, port 1514/UDP",56FD,PVE,pve25,,
homelan,Basingstoke,Office,rhjenkins.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,20c79d6fb8394ace8f8b2b0d814641bf,110,Server,100,192.168.86.0,192.168.86.40,Linux,RedHat,8,4,2,200,TRUE,,,TRUE,,TRUE,Agent,,,Running Jenkins for centralised automation tasks,56FD,PVE,pve25,,
homelan,Basingstoke,Office,rhjumpbox.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,64329c221a154882a89467b28f4ebad1,111,Server,100,192.168.86.0,192.168.86.250,Linux,RedHat,8,2,2,320,TRUE,,,TRUE,,TRUE,Agent,,,"Jumpbox which Jenkins uses to run remote scripts, has passwordless ssh to all servers",56FD,PVE,pve18,,
homelan,Basingstoke,Office,rhmediatv.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,b657eed3258a4e569de64283d5cbd526,112,DockerHost,100,192.168.86.0,192.168.86.48,Linux,RedHat,8,8,4,320,TRUE,,,TRUE,,TRUE,Agent,,,"Runs Plex natively and Sabnzbd, Radarr and Sonarr in Docker",56FD,PVE,pve42,,
homelan,Basingstoke,Office,rhmonitoring.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,549e6a477a81477cbc41b9ea1e49865c,113,Server,100,192.168.86.0,192.168.86.51,Linux,RedHat,8,4,4,250,TRUE,,,TRUE,,TRUE,Agent,,,Running Check_MK Monitoring,56FD,PVE,pve25,,
homelan,Basingstoke,Office,rhwebmal.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,ea232ba4ab894985bcaf68d12b19e5e2,114,Server,100,192.168.86.0,192.168.86.44,Linux,RedHat,8,2,2,100,TRUE,,,TRUE,,TRUE,Agent,,,"Axigen Mail server (Free) providing IMAPS, SMTP and SMTPS publically and Webmail through a Reverse Proxy",56FD,PVE,pve49,,
homelan,Basingstoke,Office,rhwebserver.lan,selfhosted-group,homelan,RedHat,VM,Proxmox,83636b87ef0b46e18c00742be9d1724b,115,Server,100,192.168.86.0,192.168.86.32,Linux,RedHat,8,2,4,320,TRUE,,,TRUE,,TRUE,Agent,,,Runs GhostCRM which supplies tech.davidfield.co.uk as well as providing a public facing NGINX reverse proxy,56FD,PVE,pve18,,
homelan,Basingstoke,Office,cmdb.lan,selfhosted-group,homelan,Ubuntu,VM,Proxmox,4e0318ee39ee4957ab40d513e489a185,116,CMDB,100,192.168.86.0,192.168.86.37,Linux,Ubuntu,20.04,2,2,320,TRUE,,,TRUE,,TRUE,Agent,,,Runs Netbox CMDB for testing,56FD,PVE,pve49,,
homelan,Basingstoke,under_stairs,internet.lan,selfhosted-group,homelan,Mikrotik,Router,Network,none,117,Router,100,10.10.0.0,10.10.0.1,Other,RouterOS,6.47.4,2,2,64,TRUE,,,FALSE,,TRUE,SNMP,,,Provides the link from the FTTP box to the Google Wifi and provides public facing Firewall rules and NAT port forwarding,56FD,NETWORK,net1,,
