Tenant,site,host,Manufacturer,Device_type,platform,device_roles,vlan,prefix,IP address,OSType,OS,CPU,RAM,Storage,admin_user,admin_pwd ,backup,backup_group,backup_role,patch,patch_group,monitor,monitor_tags,monitor_labels
safewebbox,basingstoke,rhdbserver,RedHat,VM,RedHat,Database,100,192.168.86.0/24,192.168.86.249,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhdns,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.20,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhjenkins,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.40,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhjumpbox,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.250,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhlogserver,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.41,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhwebserver,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.32,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhgitlab,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.30,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhwebmail,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.44,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhmediatv,RedHat,VM,RedHat,DockerHost,100,192.168.86.0/24,192.168.86.48,Linux,RedHat,2,4,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhchat,RedHat,VM,RedHat,DockerHost,100,192.168.86.0/24,192.168.86.50,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,rhmonitoring,RedHat,VM,RedHat,Server,100,192.168.86.0/24,192.168.86.51,Linux,RedHat,2,2,320,,,Y,,,Y,,y,,
safewebbox,basingstoke,proxmox18,IBM,IBMServer,proxmox,VirtualHost,100,192.168.86.0/24,192.168.86.18,Linux,Debian,8,16,1000,,,N,,,N,,y,,
safewebbox,basingstoke,proxmox25,Dell,DellServer,proxmox,VirtualHost,100,192.168.86.0/24,192.168.86.25,Linux,Debian,8,16,1000,,,N,,,N,,y,,
safewebbox,basingstoke,proxmox49,Gigabrix,BrixServer,proxmox,VirtualHost,100,192.168.86.0/24,192.168.86.49,Linux,Debian,8,16,1000,,,N,,,N,,y,,
safewebbox,basingstoke,proxmox42,Gigabrix,BrixServer,proxmox,VirtualHost,100,192.168.86.0/24,192.168.86.42,Linux,Debian,4,8,1000,,,N,,,N,,y,,
safewebbox,basingstoke,opnsense,OpnSense,VM,OPNSense,Server,100,192.168.86.0/24,192.168.86.35,BSD,FreeBSD,2,2,250,,,Y,,,Y,,y,,
safewebbox,basingstoke,router_internet,Mikrotik,Router,mickrotik,Router,100,192.168.86.0/24,192.168.86.5,Other,Other,2,2,10,,,N,,,N,,y,,
safewebbox,basingstoke,router_wifi,Mikrotik,Router,mickrotik,WiFi,300,10.10.0.0/24,10.10.10.1,Other,Other,2,2,10,,,N,,,N,,y,,
safewebbox,basingstoke,cmdb,Ubuntu,VM,Ubuntu 20.04,CMDB,100,192.168.86.0/24,192.168.86.35,Linux,Ubuntu,2,2,120,,,Y,,,Y,,y,,
,,,,,,,,,,,,,,,,, ,,,,,,,
